Ranking Nasional,,Ranking Provinsi,NPSN,Sekolah,Provinsi,Kota/Kab.,Jenis Sekolah,Total Score,TPS,TKA Saintek,TKA Soshum,Account,Token Request,Token,Passed,Final Registration,Registrasi Mahasiswa,Distance
164,66,23,20525854,SMAN 1 GENTENG,Jawa Timur,Kab. Banyuwangi,SMA,"562,016","580,480","569,800","573,267",12,#N/A,#N/A,#N/A,#N/A,,290
312,83,52,20525856,SMAN 1 GLAGAH,Jawa Timur,Kab. Banyuwangi,SMA,"545,879","565,718","534,925","549,495",6,#N/A,#N/A,#N/A,#N/A,,290
667,76,110,20525855,SMAN 1 GIRI,Jawa Timur,Kab. Banyuwangi,SMA,"523,274","532,869","50,813","531,870",10,#N/A,#N/A,#N/A,#N/A,,290
852,116,138,20525600,SMA NEGERI 2 TARUNA BHAYANGKARA JAWA TIMUR,Jawa Timur,Kab. Banyuwangi,SMA,"516,414","524,332","524,332","523,727",#N/A,#N/A,#N/A,#N/A,#N/A,,290
318,87,53,20514344,SMAN 1 TALUN,Jawa Timur,Kab. Blitar,SMA,"545,372","564,802","532,776","559,240",11,#N/A,#N/A,#N/A,#N/A,,164
335,243,57,20514347,SMAN 1 SRENGAT,Jawa Timur,Kab. Blitar,SMA,"543,853","565,512","543,752","568,232",6,#N/A,#N/A,#N/A,#N/A,,164
694,121,114,20584134,MAN 1 BLITAR,Jawa Timur,Kab. Blitar,MA,"522,404","531,576","509,043","530,348",#N/A,#N/A,#N/A,#N/A,#N/A,,164
762,239,122,20551724,SMAN 1 SUTOJAYAN,Jawa Timur,Kab. Blitar,SMA,"519,932","538,724","510,632","528,467",2,#N/A,#N/A,#N/A,#N/A,,164
90,58,12,69883214,SMA PLUS AR RAHMAT,Jawa Timur,Kab. Bojonegoro,SMA,"575,436","605,394","553,400","644,307",1,#N/A,#N/A,#N/A,#N/A,,130
125,24,17,20504500,SMAN 1 BOJONEGORO,Jawa Timur,Kab. Bojonegoro,SMA,"569,575","589,014","536,832","594,207",9,#N/A,#N/A,#N/A,#N/A,,130
491,126,81,20504478,SMAN 2 BOJONEGORO,Jawa Timur,Kab. Bojonegoro,SMA,"531,984","545,740","517,047","554,932",9,#N/A,#N/A,#N/A,#N/A,,130
767,163,124,20541242,SMAN 1 SUMBERREJO,Jawa Timur,Kab. Bojonegoro,SMA,"519,712","528,397","515,054","530,127",5,#N/A,#N/A,#N/A,#N/A,,130
588,162,102,20521711,SMAN 2 BONDOWOSO,Jawa Timur,Kab. Bondowoso,SMA,"527,249","543,103","520,036","528,557",9,#N/A,#N/A,#N/A,#N/A,,139
86,4,11,20500479,SMAN 1 GRESIK,Jawa Timur,Kab. Gresik,SMA,"576,513","596,153","573,028","575,411",12,#N/A,#N/A,#N/A,#N/A,,35
468,21,77,20500477,SMAN 1 MANYAR,Jawa Timur,Kab. Gresik,SMA,"533,494","544,343","519,623","537,140",15,#N/A,#N/A,#N/A,#N/A,,35
866,86,141,20537011,SMAN 1 KEBOMAS,Jawa Timur,Kab. Gresik,SMA,"515,980","521,268","512,486","523,608",14,#N/A,#N/A,#N/A,#N/A,,35
